P_SUID,PARTY,CHNG_A,CHNG_B,CHNG_C,DIVRELPOP,DIVRACPOP,POORASSIST,CLIM1A,SCIMPACT,RELIMPACT,RACECMB,INC_SDT1,EDUCREC,EMPLSIT,USGEN,CURREL
10017740,2,1,1,1,1,1,1,1,2,1,1,2,4,1,3,100000
10017780,2,1,1,3,1,1,3,1,2,3,1,2,4,1,1,10010
10017800,2,3,1,2,1,1,3,1,2,3,1,6,1,5,2,10010
10017850,2,1,1,1,1,1,3,1,2,3,4,7,4,2,3,100000
10017910,2,2,1,1,1,1,1,77,3,3,2,3,2,3,3,10010
10018110,1,3,3,2,3,2,2,3,1,2,1,5,2,5,2,10010
10018180,1,1,1,2,2,1,2,77,2,2,1,1,3,3,3,10010
10018210,3,2,3,2,1,1,3,1,3,2,1,6,4,4,3,10010
10018280,2,1,1,1,1,1,1,1,2,2,1,1,3,5,3,10010
10018290,1,2,1,2,3,3,3,77,2,2,1,4,4,5,3,100000
10018440,1,2,2,2,2,3,2,2,1,2,1,4,4,2,3,10010
10018480,3,3,1,1,1,1,1,2,3,3,5,4,3,2,3,100000
10018490,1,2,1,2,2,3,2,3,3,3,1,5,2,1,3,10010
10018520,3,1,1,2,2,1,3,77,2,2,1,1,3,2,3,10010
10018580,4,1,1,1,1,1,1,1,2,1,1,1,3,4,3,100000
10018600,2,1,1,1,3,3,3,1,3,3,1,5,3,1,3,10010
10018620,2,2,3,3,2,2,1,77,1,1,2,1,1,4,3,10010
10018650,4,3,3,3,3,1,1,1,2,1,1,4,3,1,3,100000
10018710,2,3,1,1,1,1,1,1,2,1,1,8,4,1,3,100000
10018730,1,3,1,1,1,1,1,2,2,2,1,8,4,5,3,10010
10018810,1,3,1,2,3,2,1,77,2,2,1,8,2,3,1,10010
10018970,4,3,1,1,3,3,1,77,3,3,2,1,1,3,2,100000
10019200,1,2,1,2,1,1,2,3,1,2,1,6,1,5,3,10010
10019230,4,2,2,1,3,1,3,1,1,3,2,6,2,2,2,10010
